region,ip,prefixlength,state
apnic,2001:c60::,32,allocated
apnic,2400:9300::,32,allocated
apnic,2400:94e0::,32,allocated
apnic,2400:bd20::,32,allocated
apnic,2401:53c0::,32,allocated
apnic,2401:d540::,32,allocated
apnic,2401:f680::,32,allocated
apnic,2402:58c0::,32,allocated
apnic,2404:2540::,32,allocated
apnic,2404:6400::,32,allocated
apnic,2404:f440::,32,allocated
apnic,2405:9f40::,32,allocated
apnic,2407:1800::,32,allocated
apnic,2407:3b00::,32,allocated
apnic,2001:df0:700::,48,assigned
apnic,2001:df1:b00::,48,assigned
apnic,2001:dea:8000::,48,assigned
apnic,2001:df1:bdc0::,48,assigned
apnic,2001:df1:fb80::,48,assigned
apnic,2001:df2:1500::,48,assigned
apnic,2001:df3:4c00::,48,assigned
apnic,2001:df3:c880::,48,assigned
apnic,2001:df4:3e80::,48,assigned
apnic,2001:df4:6900::,48,assigned
apnic,2001:df6:a880::,48,assigned
apnic,2001:df7:5c80::,48,assigned
apnic,2001:df7:8c80::,48,assigned
apnic,2001:df7:b200::,48,assigned
