region,ip,prefixlength,state
ripencc,5.34.248.0,21,allocated
ripencc,31.10.16.0,20,allocated
ripencc,45.81.12.0,22,allocated
ripencc,45.90.8.0,22,allocated
ripencc,46.18.111.0,24,allocated
ripencc,80.66.224.0,20,allocated
ripencc,80.72.48.0,20,allocated
ripencc,80.76.0.0,21,allocated
ripencc,80.241.112.0,20,allocated
ripencc,80.248.192.0,20,allocated
ripencc,81.161.56.0,23,assigned
ripencc,82.117.0.0,19,allocated
ripencc,85.31.152.0,21,allocated
ripencc,88.82.96.0,19,allocated
ripencc,88.218.24.0,22,allocated
ripencc,89.248.144.0,20,allocated
ripencc,91.207.130.0,23,assigned
ripencc,91.232.229.0,24,assigned
ripencc,149.255.176.0,21,allocated
ripencc,176.119.216.0,24,allocated
ripencc,185.27.64.0,22,allocated
ripencc,185.34.148.0,22,allocated
ripencc,185.44.156.0,22,allocated
ripencc,185.70.80.0,22,allocated
ripencc,185.73.156.0,22,allocated
ripencc,185.77.44.0,22,allocated
ripencc,185.77.52.0,22,allocated
ripencc,185.101.8.0,22,allocated
ripencc,185.101.48.0,22,allocated
ripencc,185.112.48.0,22,allocated
ripencc,185.117.164.0,22,allocated
ripencc,185.170.216.0,22,allocated
ripencc,185.170.220.0,22,allocated
ripencc,185.174.32.0,22,allocated
ripencc,185.197.181.0,24,allocated
ripencc,185.208.120.0,22,allocated
ripencc,185.236.220.0,22,allocated
ripencc,185.246.232.0,22,allocated
ripencc,185.251.164.0,22,allocated
ripencc,185.251.184.0,22,allocated
ripencc,193.5.26.0,23,assigned
ripencc,193.17.79.0,24,assigned
ripencc,193.32.84.0,24,allocated
ripencc,193.168.168.0,22,allocated
ripencc,193.200.236.0,24,assigned
ripencc,193.202.240.0,20,assigned
ripencc,193.222.112.0,20,assigned
ripencc,194.11.203.0,24,assigned
ripencc,194.31.128.0,23,allocated
ripencc,194.56.144.0,22,allocated
ripencc,194.124.188.0,22,allocated
ripencc,194.147.68.0,23,allocated
ripencc,194.147.196.0,20,assigned
ripencc,195.211.32.0,22,assigned
ripencc,195.225.200.0,22,allocated
ripencc,195.242.248.0,22,assigned
ripencc,195.245.218.0,24,assigned
ripencc,195.254.128.0,23,assigned
ripencc,212.77.32.0,19,allocated
ripencc,217.173.224.0,20,allocated
