region,ip,prefixlength,state
apnic,2403:580::,32,allocated
apnic,2400:1440::,32,allocated
apnic,2400:4e60::,32,allocated
apnic,2400:50c0::,32,allocated
apnic,2401:5f40::,32,allocated
apnic,2403:8700::,32,allocated
apnic,2404:5540::,32,allocated
apnic,2405:d000::,32,allocated
apnic,2405:ec00::,32,allocated
apnic,2405:ec01::,32,allocated
apnic,2407:5040::,32,allocated
apnic,2001:dea:4000::,47,assigned
apnic,2001:deb:8000::,48,assigned
apnic,2001:df0:eb80::,48,assigned
apnic,2001:df3:e180::,48,assigned
apnic,2001:df5:a300::,48,assigned
apnic,2001:df5:d880::,48,assigned
apnic,2001:df5:d881::,48,assigned
apnic,2001:df5:e700::,48,assigned
