region,ip,prefixlength,org
ripencc,2a01:a0::,32,mt.gomobile;GO p.l.c.
ripencc,2a01:180::,29,n/a
ripencc,2a02:dd0::,32,n/a
ripencc,2a03:9a0::,32,n/a
ripencc,2a03:bc0::,29,n/a
ripencc,2001:1a70::,29,mt.csc;Malta Internet Foundation
ripencc,2a00:1060::,32,n/a
ripencc,2a00:1cc0::,32,mt.cats;Bellnet Limited
ripencc,2a00:5280::,32,mt.aspidersol;ASPIDER SOLUTIONS INTERNATIONAL HOLDINGS LIMITED
ripencc,2a00:8de0::,29,n/a
ripencc,2a01:9ae0::,32,n/a
ripencc,2a01:abc0::,32,n/a
ripencc,2a02:5320::,32,mt.phoenixnap-eu;Phoenix NAP Ltd.
ripencc,2a02:79a0::,32,n/a
ripencc,2a03:3bc0::,32,mt.unibet;Unibet Services Limited
ripencc,2a03:50e0::,32,n/a
ripencc,2a03:6bc0::,29,mt.relaxgaming;Relax Gaming Ltd
ripencc,2a03:8820::,32,mt.bet-at-home;bet-at-home.com International Ltd.
ripencc,2a03:cb00::,32,n/a
ripencc,2a04:6700::,29,mt.bmh;Smart IP (SIP) Limited
ripencc,2a04:8300::,29,n/a
ripencc,2a04:8700::,29,n/a
ripencc,2a07:2740::,29,n/a
ripencc,2a09:7000::,29,mt.genesis;Genesis Cloud Limited
ripencc,2a09:f3c0::,29,mt.globitell-intl;GLOBITELL INTERNATIONAL LTD
ripencc,2a0c:c280::,29,n/a
ripencc,2a0d:1c40::,29,n/a
ripencc,2a10:1f00::,31,mt.messaggio;Messaggio Ltd
ripencc,2a10:5500::,29,mt.vfm;Epic Communications Limited
ripencc,2a11:6480::,29,mt.myfatdigital;MyFatDigital Ltd
ripencc,2a11:9540::,32,n/a
