region,ip,prefixlength
lacnic,45.5.160.0,22
lacnic,45.5.164.0,22
lacnic,45.5.172.0,22
lacnic,45.5.180.0,22
lacnic,45.5.184.0,22
lacnic,45.5.188.0,22
lacnic,45.65.200.0,24
lacnic,45.68.24.0,22
lacnic,45.68.28.0,22
lacnic,45.71.7.0,24
lacnic,45.162.0.0,22
lacnic,45.162.85.0,24
lacnic,45.168.104.0,22
lacnic,45.174.227.0,24
lacnic,45.178.64.0,22
lacnic,45.189.119.0,24
lacnic,45.224.186.0,24
lacnic,45.226.186.0,23
lacnic,45.227.5.0,24
lacnic,45.227.88.0,22
lacnic,45.231.184.0,22
lacnic,45.233.4.0,22
lacnic,45.233.72.0,22
lacnic,45.238.196.0,22
lacnic,45.239.88.0,22
lacnic,131.196.208.0,22
lacnic,131.196.212.0,22
lacnic,138.36.64.0,22
lacnic,138.121.4.0,22
lacnic,143.0.102.0,23
lacnic,157.253.0.0,16
lacnic,168.176.0.0,16
lacnic,168.228.108.0,22
lacnic,170.78.185.0,24
lacnic,170.80.96.0,22
lacnic,170.82.40.0,23
lacnic,170.83.59.0,24
lacnic,170.238.64.0,23
lacnic,170.238.168.0,23
lacnic,170.238.226.0,23
lacnic,177.126.32.0,22
lacnic,179.0.9.0,24
lacnic,179.0.10.0,24
lacnic,179.0.15.0,24
lacnic,179.0.27.0,24
lacnic,179.0.29.0,24
lacnic,179.0.146.0,24
lacnic,179.0.205.0,24
lacnic,179.42.94.0,23
lacnic,181.233.60.0,24
lacnic,181.233.159.0,24
lacnic,189.50.208.0,23
lacnic,190.83.78.0,23
lacnic,192.68.185.0,24
lacnic,192.100.191.0,24
lacnic,192.135.95.0,24
lacnic,192.140.124.0,23
lacnic,198.51.71.0,24
lacnic,200.0.187.0,24
lacnic,200.0.201.0,24
lacnic,200.1.64.0,19
lacnic,200.1.96.0,21
lacnic,200.1.124.0,24
lacnic,200.1.126.0,24
lacnic,200.1.127.0,24
lacnic,200.1.173.0,24
lacnic,200.1.175.0,24
lacnic,200.2.64.0,21
lacnic,200.3.144.0,23
lacnic,200.3.147.0,24
lacnic,200.3.148.0,22
lacnic,200.3.152.0,22
lacnic,200.3.156.0,22
lacnic,200.3.160.0,21
lacnic,200.3.192.0,23
lacnic,200.3.244.0,22
lacnic,200.4.16.0,20
lacnic,200.9.72.0,24
lacnic,200.9.94.0,24
lacnic,200.9.158.0,23
lacnic,200.10.136.0,23
lacnic,200.10.154.0,24
lacnic,200.10.164.0,24
lacnic,200.10.174.0,23
lacnic,200.11.33.0,24
lacnic,200.12.170.0,24
lacnic,200.12.175.0,24
lacnic,200.12.176.0,20
lacnic,200.14.112.0,23
lacnic,200.16.79.0,24
lacnic,200.16.117.0,24
lacnic,200.16.118.0,23
lacnic,200.23.75.0,24
lacnic,200.23.115.0,24
lacnic,200.24.0.0,21
lacnic,200.24.8.0,24
lacnic,200.24.9.0,24
lacnic,200.24.16.0,20
lacnic,200.34.0.0,24
lacnic,200.34.171.0,24
lacnic,200.106.196.0,22
lacnic,200.115.178.0,24
lacnic,200.115.180.0,24
lacnic,200.115.181.0,24
lacnic,200.124.124.0,23
lacnic,200.192.106.0,24
lacnic,201.130.16.0,22
lacnic,201.131.78.0,24
lacnic,201.131.90.0,23
lacnic,201.131.97.0,24
lacnic,201.131.114.0,24
lacnic,201.150.96.0,22
lacnic,201.220.30.0,23
lacnic,201.221.122.0,24
lacnic,201.221.124.0,23
lacnic,206.223.124.0,24
lacnic,207.248.81.0,24
ripencc,147.75.112.0,20
