region,country,version,ip,prefixlength,orgsflat
afrinic,AO,ipv4,80.88.9.0,24,[328211;AO;SETIC-FP-AS]
afrinic,AO,ipv4,102.209.154.0,24,[329412;AO;TAAG-Linhas-Aereas-de-Angola]
afrinic,AO,ipv4,102.211.55.0,24,[329330;AO;Sociedade-Mineira-de-Catoca-Lda]
afrinic,AO,ipv4,102.213.54.0,24,[329209;AO;Banco-YETU]
afrinic,AO,ipv4,102.214.127.0,24,[329194;AO;Banco-De-Comercio-e-Industria-SA]
afrinic,AO,ipv4,102.219.30.0,24,[328893;AO;KWATTEL-AS]
afrinic,AO,ipv4,102.219.226.0,24,[328877;AO;Banco-Valor-AS]
afrinic,AO,ipv4,102.223.3.0,24,[328669;AO;BOLSA-DE-DIVIDA]
afrinic,AO,ipv4,192.12.111.0,24,[328283;AO;BBDP1-AS]
afrinic,AO,ipv4,196.1.15.0,24,[36936;AO;BancoBai]
afrinic,AO,ipv4,196.6.255.0,24,[37590;AO;BCA-ASN]
afrinic,AO,ipv4,196.11.189.0,24,[37036;AO;BFA]
afrinic,AO,ipv4,196.11.234.0,24,[329357;AO;Tel-Cables-Nigeria][329356;AO;Tel-Cables-PTY-LTD][327788;AO;ANGOLA-IX][37468;AO;ANGOLA-CABLES]
afrinic,AO,ipv4,196.13.109.0,24,[328273;AO;BCS-Banco-de-Credito-do-Sul-SA]
afrinic,AO,ipv4,196.13.204.0,24,[327801;AO;Banco-Sol]
afrinic,AO,ipv4,196.13.243.0,24,[327918;AO;AEID]
afrinic,AO,ipv4,196.41.77.0,24,[328907;AO;AS33793]
afrinic,AO,ipv4,196.43.197.0,24,[37267;AO;CAIXA]
afrinic,AO,ipv4,196.43.210.0,24,[37318;AO;BESA]
afrinic,AO,ipv4,196.43.223.0,24,[37366;AO;BNA]
afrinic,AO,ipv4,196.46.21.0,24,[37147;AO;bancobic-as]
afrinic,AO,ipv4,196.49.6.0,24,[327775;AO;AO-IXPmgmnt][37383;AO;ANG-IXP]
afrinic,AO,ipv4,196.216.161.0,24,[37036;AO;BFA]
afrinic,AO,ipv4,196.216.248.0,23,[37062;AO;ASN-BNI]
afrinic,AO,ipv4,196.223.1.0,24,[327775;AO;AO-IXPmgmnt][37383;AO;ANG-IXP]
afrinic,AO,ipv4,196.223.13.0,24,[327691;AO;BMAS-AS]
afrinic,AO,ipv4,196.223.19.0,24,[37384;AO;BANKO-KEVE]
afrinic,AO,ipv4,204.8.204.0,24,[328165;AO;Banco-de-Investimento-Rural]
afrinic,AO,ipv6,2001:43f8:390::,48,[327775;AO;AO-IXPmgmnt][37383;AO;ANG-IXP]
afrinic,AO,ipv6,2001:43f8:391::,48,[327775;AO;AO-IXPmgmnt][37383;AO;ANG-IXP]
afrinic,AO,ipv6,2001:43f8:400::,40,[37062;AO;ASN-BNI]
afrinic,AO,ipv6,2001:43f8:760::,48,[36936;AO;BancoBai]
afrinic,AO,ipv6,2001:43f8:7c0::,48,[37590;AO;BCA-ASN]
