region,version,ip,prefixlength,state,orgsflat
ripencc,ipv4,5.8.128.0,19,allocated,[202772;LB;AXA-AS AXA Middle East SAL][201544;LB;CIMNAT-AS Cimenterie Nationale SAL][62144;LB;BBAC-AS BBAC S.A.L.][58281;LB;FIDUS-SAL FIDUS S.A.L][48740;LB;OMT-AS Online Money Transfer S.A.L.][31126;LB;SODETEL-AS SODETEL S.A.L.]
ripencc,ipv4,5.45.188.0,22,allocated,[198867;LB;Computel Computel SAL][60406;LB;ALJADEED ALJADEED S.A.L]
ripencc,ipv4,5.57.0.0,24,allocated,[38999;LB;MTCTOUCH Mobile Interim Company no.2 sal]
ripencc,ipv4,5.57.1.0,24,allocated,[52100;LB;CABLEONE-AS Lebanon Services Company L.L.C. Cable One][44189;LB;MEA Middle East Airlines AirLiban S.A.L. (M.E.A)][41263;LB;AEG Allied Engineering Group S.A.R.L.][41211;LB;BLF La Banque Libano-Francaise S.A.L.][39918;LB;AZALGROUP Azal Group Holding SAL][39868;LB;FRANSABANK FRANSABANK SAL][39010;LB;TERRANET-AS TerraNet sal][24982;LB;BANKMED BankMed sal][3176;LB;BDL Banque Du Liban]
ripencc,ipv4,5.57.2.0,23,allocated,[52100;LB;CABLEONE-AS Lebanon Services Company L.L.C. Cable One][44189;LB;MEA Middle East Airlines AirLiban S.A.L. (M.E.A)][41263;LB;AEG Allied Engineering Group S.A.R.L.][41211;LB;BLF La Banque Libano-Francaise S.A.L.][39918;LB;AZALGROUP Azal Group Holding SAL][39868;LB;FRANSABANK FRANSABANK SAL][39010;LB;TERRANET-AS TerraNet sal][24982;LB;BANKMED BankMed sal][3176;LB;BDL Banque Du Liban]
ripencc,ipv4,5.57.4.0,22,allocated,[52100;LB;CABLEONE-AS Lebanon Services Company L.L.C. Cable One][44189;LB;MEA Middle East Airlines AirLiban S.A.L. (M.E.A)][41263;LB;AEG Allied Engineering Group S.A.R.L.][41211;LB;BLF La Banque Libano-Francaise S.A.L.][39918;LB;AZALGROUP Azal Group Holding SAL][39868;LB;FRANSABANK FRANSABANK SAL][39010;LB;TERRANET-AS TerraNet sal][24982;LB;BANKMED BankMed sal][3176;LB;BDL Banque Du Liban]
ripencc,ipv4,5.100.240.0,22,allocated,[56902;LB;energy Energy Bridge Sarl]
ripencc,ipv4,31.170.96.0,22,allocated,[204122;LB;acsbeirut American Community School]
ripencc,ipv4,37.209.248.0,21,allocated,[61113;LB;CapitalOutsourcing Capital Outsourcing SAL][47529;LB;BERYTECH BERYTECH S.C.A.L.][39275;LB;Byblos Byblos Bank S.A.L.][28958;LB;TRINEC-AS Capital Outsourcing SAL][12376;LB;MOF Ministry of finance]
ripencc,ipv4,45.84.36.0,24,allocated,[208815;LB;Prevision Prevision S.A.R.L]
ripencc,ipv4,45.84.37.0,24,allocated,[201792;LB;beta-teleco Beta Teleco S.A.R.L]
ripencc,ipv4,45.88.224.0,22,allocated,[208694;LB;LU-ASN Lebanese University]
ripencc,ipv4,45.94.52.0,22,allocated,[41956;LB;Mnets M Nets SAL]
ripencc,ipv4,45.129.136.0,22,allocated,[206485;LB;SONICASN SONIC INC SAL]
ripencc,ipv4,45.131.20.0,22,allocated,[208403;LB;TEDINET TediNet S.A.R.L]
ripencc,ipv4,45.142.84.0,22,allocated,[43004;LB;SS-SOLUTIONS Smart Secure Solutions S.A.R.L.]
ripencc,ipv4,45.142.136.0,22,allocated,[56902;LB;energy Energy Bridge Sarl]
ripencc,ipv4,45.145.60.0,22,allocated,[208234;LB;WIMAX-ISP-LB Wimax Company SARL]
ripencc,ipv4,45.155.132.0,22,allocated,[208007;LB;libanpost Libanpost S.A.L]
ripencc,ipv4,45.159.184.0,22,allocated,[15511;LB;lb-iconnect iconnect sarl]
ripencc,ipv4,46.19.192.0,21,allocated,[51938;LB;MEDSYSTEMS GlobeMed Solutions SAL]
ripencc,ipv4,46.227.248.0,21,allocated,[41833;LB;MOSCANET Moscanet SAL]
ripencc,ipv4,62.84.64.0,19,allocated,[16130;LB;New Com SAL]
ripencc,ipv4,77.42.128.0,17,allocated,[42020;LB;LibanTelecom LIBANTELECOM][42003;LB;OGERONET LIBANTELECOM]
ripencc,ipv4,77.75.88.0,21,allocated,[43019;LB;farahnet Farah Net S.a.r.l.]
ripencc,ipv4,77.110.64.0,18,allocated,*
ripencc,ipv4,77.235.128.0,19,allocated,[42334;LB;BBP-AS Broadband Plus S.a.l.]
ripencc,ipv4,77.246.64.0,20,allocated,*
ripencc,ipv4,78.40.176.0,21,allocated,[43824;LB;MASCO-AS Masco Group LLC]
ripencc,ipv4,78.41.56.0,21,allocated,[50285;LB;onetplus-as onetplus]
ripencc,ipv4,78.108.160.0,20,allocated,[52100;LB;CABLEONE-AS Lebanon Services Company L.L.C. Cable One][44189;LB;MEA Middle East Airlines AirLiban S.A.L. (M.E.A)][41263;LB;AEG Allied Engineering Group S.A.R.L.][41211;LB;BLF La Banque Libano-Francaise S.A.L.][39918;LB;AZALGROUP Azal Group Holding SAL][39868;LB;FRANSABANK FRANSABANK SAL][39010;LB;TERRANET-AS TerraNet sal][24982;LB;BANKMED BankMed sal][3176;LB;BDL Banque Du Liban]
ripencc,ipv4,80.77.176.0,20,allocated,*
ripencc,ipv4,80.79.144.0,20,allocated,*
ripencc,ipv4,80.81.144.0,20,allocated,[24634;LB;Cyberia-AS Transmog Inc S.A.L]
ripencc,ipv4,80.83.16.0,20,allocated,[35197;LB;VISP-LB-AS Virtual ISP s.a.l.][29578;LB;GLOBALPROOF-AS GlobalProof s.a.r.l.]
ripencc,ipv4,82.112.160.0,21,allocated,[61113;LB;CapitalOutsourcing Capital Outsourcing SAL][47529;LB;BERYTECH BERYTECH S.C.A.L.][39275;LB;Byblos Byblos Bank S.A.L.][28958;LB;TRINEC-AS Capital Outsourcing SAL][12376;LB;MOF Ministry of finance]
ripencc,ipv4,82.146.160.0,19,allocated,*
ripencc,ipv4,83.171.192.0,22,allocated,[209881;LB;AS Global Internet Providers]
ripencc,ipv4,85.112.64.0,19,allocated,[52100;LB;CABLEONE-AS Lebanon Services Company L.L.C. Cable One][44189;LB;MEA Middle East Airlines AirLiban S.A.L. (M.E.A)][41263;LB;AEG Allied Engineering Group S.A.R.L.][41211;LB;BLF La Banque Libano-Francaise S.A.L.][39918;LB;AZALGROUP Azal Group Holding SAL][39868;LB;FRANSABANK FRANSABANK SAL][39010;LB;TERRANET-AS TerraNet sal][24982;LB;BANKMED BankMed sal][3176;LB;BDL Banque Du Liban]
ripencc,ipv4,85.202.92.0,22,allocated,[208669;LB;SafawiNet Safawi Net S.A.L.]
ripencc,ipv4,85.208.204.0,22,allocated,[209354;LB;maglobal MA Global Company S.A.R.L.]
ripencc,ipv4,88.218.140.0,22,allocated,[209685;LB;INDEVCO INDEVCO SAL]
ripencc,ipv4,89.108.128.0,18,allocated,[202772;LB;AXA-AS AXA Middle East SAL][201544;LB;CIMNAT-AS Cimenterie Nationale SAL][62144;LB;BBAC-AS BBAC S.A.L.][58281;LB;FIDUS-SAL FIDUS S.A.L][48740;LB;OMT-AS Online Money Transfer S.A.L.][31126;LB;SODETEL-AS SODETEL S.A.L.]
ripencc,ipv4,89.187.216.0,21,allocated,[57256;LB;Pros Pros-Services S.A.R.L.]
ripencc,ipv4,89.249.208.0,20,allocated,[41833;LB;MOSCANET Moscanet SAL]
ripencc,ipv4,91.92.115.0,24,allocated,[199239;LB;Accesslb Khodor Kanso trading as Access Lebanon]
ripencc,ipv4,91.151.224.0,20,allocated,[42852;LB;BCDBBN-AS Societe Libanaise pour le developpement et la reconstruction du centre ville de de Beyrouth (Solidere)]
ripencc,ipv4,91.188.208.0,22,allocated,[35732;LB;AS-EARTH EarthLinks S.A.R.L]
ripencc,ipv4,91.192.176.0,22,allocated,*
ripencc,ipv4,91.197.46.0,23,allocated,[57513;LB;MIC1-ALFA-AS Mobile interim company 1 S.A.L.]
ripencc,ipv4,91.232.100.0,23,allocated,[57513;LB;MIC1-ALFA-AS Mobile interim company 1 S.A.L.]
ripencc,ipv4,91.245.248.0,22,allocated,*
ripencc,ipv4,92.62.160.0,20,allocated,[24634;LB;Cyberia-AS Transmog Inc S.A.L]
ripencc,ipv4,92.118.20.0,22,allocated,[209211;LB;Entelligence Entelligence SARL]
ripencc,ipv4,92.242.168.0,22,allocated,*
ripencc,ipv4,93.126.128.0,17,allocated,[202772;LB;AXA-AS AXA Middle East SAL][201544;LB;CIMNAT-AS Cimenterie Nationale SAL][62144;LB;BBAC-AS BBAC S.A.L.][58281;LB;FIDUS-SAL FIDUS S.A.L][48740;LB;OMT-AS Online Money Transfer S.A.L.][31126;LB;SODETEL-AS SODETEL S.A.L.]
ripencc,ipv4,93.185.80.0,20,allocated,*
ripencc,ipv4,93.185.224.0,20,allocated,[41833;LB;MOSCANET Moscanet SAL]
ripencc,ipv4,94.187.0.0,17,allocated,[42020;LB;LibanTelecom LIBANTELECOM][42003;LB;OGERONET LIBANTELECOM]
ripencc,ipv4,94.231.193.0,24,allocated,[207493;LB;GE-Net GE-net sarl]
ripencc,ipv4,95.141.48.0,20,allocated,[41833;LB;MOSCANET Moscanet SAL]
ripencc,ipv4,95.214.212.0,22,allocated,[209654;LB;fibernetlb FIBER net lb s.a.r.l]
ripencc,ipv4,109.75.64.0,20,allocated,[59931;LB;LEBOL-AS Lebanon Online SARL]
ripencc,ipv4,109.110.96.0,19,allocated,[35197;LB;VISP-LB-AS Virtual ISP s.a.l.][29578;LB;GLOBALPROOF-AS GlobalProof s.a.r.l.]
ripencc,ipv4,109.233.16.0,21,allocated,[205578;LB;ORG-GSL24-RIPE Directorate General of General Security][48847;LB;Connect WAVES S.A.L]
ripencc,ipv4,141.105.80.0,20,allocated,[24634;LB;Cyberia-AS Transmog Inc S.A.L]
ripencc,ipv4,141.138.176.0,20,allocated,[41833;LB;MOSCANET Moscanet SAL]
ripencc,ipv4,146.185.32.0,21,allocated,[52100;LB;CABLEONE-AS Lebanon Services Company L.L.C. Cable One][44189;LB;MEA Middle East Airlines AirLiban S.A.L. (M.E.A)][41263;LB;AEG Allied Engineering Group S.A.R.L.][41211;LB;BLF La Banque Libano-Francaise S.A.L.][39918;LB;AZALGROUP Azal Group Holding SAL][39868;LB;FRANSABANK FRANSABANK SAL][39010;LB;TERRANET-AS TerraNet sal][24982;LB;BANKMED BankMed sal][3176;LB;BDL Banque Du Liban]
ripencc,ipv4,147.78.44.0,22,allocated,[41956;LB;Mnets M Nets SAL]
ripencc,ipv4,149.3.152.0,21,allocated,[42852;LB;BCDBBN-AS Societe Libanaise pour le developpement et la reconstruction du centre ville de de Beyrouth (Solidere)]
ripencc,ipv4,160.238.120.0,22,allocated,[210292;LB;dataplus Data Plus SARL]
ripencc,ipv4,176.119.208.0,24,allocated,[210823;LB;CinconetAS CINCO. NET s.a.r.l]
ripencc,ipv4,178.135.0.0,16,allocated,[42020;LB;LibanTelecom LIBANTELECOM][42003;LB;OGERONET LIBANTELECOM]
ripencc,ipv4,185.3.20.0,22,allocated,[24634;LB;Cyberia-AS Transmog Inc S.A.L]
ripencc,ipv4,185.4.252.0,22,allocated,[60372;LB;EagleNet EagleNet s.a.r.l.]
ripencc,ipv4,185.6.148.0,22,allocated,[41956;LB;Mnets M Nets SAL]
ripencc,ipv4,185.7.128.0,22,allocated,[199643;LB;ALU-LB-AS Lebanese American University][34370;LB;CSC CSCBank SAL][9051;LB;IncoNet Data Management sal]
ripencc,ipv4,185.9.136.0,22,allocated,[59955;LB;ABS Advanced Broadband Services S.A.L]
ripencc,ipv4,185.12.220.0,22,allocated,[205578;LB;ORG-GSL24-RIPE Directorate General of General Security][48847;LB;Connect WAVES S.A.L]
ripencc,ipv4,185.16.249.0,24,allocated,*
ripencc,ipv4,185.22.32.0,22,allocated,[203134;LB;SPINESYSTEMS-AS T.H. Global Vision SARL][59989;LB;thglobalvision16 T.H. Global Vision SARL]
ripencc,ipv4,185.30.36.0,22,allocated,[42852;LB;BCDBBN-AS Societe Libanaise pour le developpement et la reconstruction du centre ville de de Beyrouth (Solidere)]
ripencc,ipv4,185.37.232.0,22,allocated,[210318;LB;c-o-as CAPITAL OUTSOURCING SAL]
ripencc,ipv4,185.38.28.0,22,allocated,[34884;LB;iSHACK iShack SAL]
ripencc,ipv4,185.40.208.0,22,allocated,*
ripencc,ipv4,185.44.152.0,22,allocated,*
ripencc,ipv4,185.54.60.0,22,allocated,[52100;LB;CABLEONE-AS Lebanon Services Company L.L.C. Cable One][44189;LB;MEA Middle East Airlines AirLiban S.A.L. (M.E.A)][41263;LB;AEG Allied Engineering Group S.A.R.L.][41211;LB;BLF La Banque Libano-Francaise S.A.L.][39918;LB;AZALGROUP Azal Group Holding SAL][39868;LB;FRANSABANK FRANSABANK SAL][39010;LB;TERRANET-AS TerraNet sal][24982;LB;BANKMED BankMed sal][3176;LB;BDL Banque Du Liban]
ripencc,ipv4,185.54.96.0,22,allocated,*
ripencc,ipv4,185.58.200.0,22,allocated,[41833;LB;MOSCANET Moscanet SAL]
ripencc,ipv4,185.61.48.0,22,allocated,[47719;LB;SWITCHTEL-AS Switch Telecom s.a.r.l]
ripencc,ipv4,185.70.224.0,22,allocated,[208923;LB;CABLEONE-AS LEBANON SERVICES COMPANY SARL]
ripencc,ipv4,185.72.216.0,22,allocated,[197674;LB;win-dsl-asn WIN DSL s.a.r.l]
ripencc,ipv4,185.76.176.0,22,allocated,[38999;LB;MTCTOUCH Mobile Interim Company no.2 sal]
ripencc,ipv4,185.81.140.0,22,allocated,[57513;LB;MIC1-ALFA-AS Mobile interim company 1 S.A.L.]
ripencc,ipv4,185.82.32.0,22,allocated,*
ripencc,ipv4,185.82.96.0,22,allocated,[42183;LB;net360 NET 360 S.A.R.L]
ripencc,ipv4,185.84.104.0,22,allocated,[42828;LB;TOPNETLB-AS Top Net SARL]
ripencc,ipv4,185.86.160.0,22,allocated,[48629;LB;iclik ICLIK SARL]
ripencc,ipv4,185.87.168.0,22,allocated,[43824;LB;MASCO-AS Masco Group LLC]
ripencc,ipv4,185.89.84.0,22,allocated,[41423;LB;ASNEWNET New Net  Technology  SARL]
ripencc,ipv4,185.90.168.0,22,allocated,[60999;LB;LIBATECH-AS Libatech SAL]
ripencc,ipv4,185.91.96.0,22,allocated,[200817;LB;BERYTECH-AS Berytech SCAL][15739;LB;BERYTECH-AS Berytech SCAL]
ripencc,ipv4,185.95.252.0,22,allocated,[34884;LB;iSHACK iShack SAL]
ripencc,ipv4,185.97.48.0,22,allocated,[203763;LB;ELBANK Emirates Lebanon Bank S.A.L]
ripencc,ipv4,185.97.92.0,22,allocated,[34447;LB;asmyisplb My ISP SARL]
ripencc,ipv4,185.97.104.0,22,allocated,[34113;LB;ns-realisp1 Real-ISP SARL]
ripencc,ipv4,185.98.204.0,22,allocated,[34032;LB;Spider SPIDER NET & CO. SARL]
ripencc,ipv4,185.99.16.0,23,allocated,[34062;LB;GCGROUP-AS GCGROUP S.A.R.L]
ripencc,ipv4,185.99.32.0,22,allocated,[29099;LB;matrix-lb Matrix International SARL]
ripencc,ipv4,185.99.220.0,22,allocated,[207519;TR;TEPENET TEPENET INTERNET TELEKOMUNiKASYON iLETiSiM LiMiTED SiRKETi][31587;LB;AHN AHN s.a.r.l]
ripencc,ipv4,185.100.200.0,22,allocated,[203134;LB;SPINESYSTEMS-AS T.H. Global Vision SARL][59989;LB;thglobalvision16 T.H. Global Vision SARL]
ripencc,ipv4,185.100.216.0,22,allocated,[41956;LB;Mnets M Nets SAL]
ripencc,ipv4,185.101.16.0,22,allocated,[56337;LB;WaveNet Wave Net LLC][31037;LB;WaveNet Wave Net LLC]
ripencc,ipv4,185.103.12.0,22,allocated,[25281;LB;MTM-AS MTM s.a.r.l]
ripencc,ipv4,185.103.20.0,22,allocated,[29070;LB;gigabit GIGABIT S.A.L]
ripencc,ipv4,185.103.88.0,22,allocated,[29027;LB;chawich CHAWICH GROUP LTD]
ripencc,ipv4,185.104.68.0,22,allocated,*
ripencc,ipv4,185.104.244.0,22,allocated,[25491;LB;ASBASIC Basic ISP s.a.r.l.]
ripencc,ipv4,185.104.252.0,22,allocated,[25471;LB;ASBSMART B_SMART.NET S.A.R.L]
ripencc,ipv4,185.107.48.0,22,allocated,[24892;LB;ASLIBALINK Libalink SARL]
ripencc,ipv4,185.111.4.0,22,allocated,[44979;LB;ADMINS-LB-ASN ADMINS LEBANON S.A.R.L]
ripencc,ipv4,185.111.160.0,22,allocated,[20874;LB;infosys Information Systems Company]
ripencc,ipv4,185.114.88.0,22,allocated,[50500;LB;bitarisp2016 BITAR NET SARL]
ripencc,ipv4,185.114.252.0,22,allocated,[16130;LB;New Com SAL]
ripencc,ipv4,185.115.100.0,22,allocated,[15511;LB;lb-iconnect iconnect sarl]
ripencc,ipv4,185.118.24.0,22,allocated,[13044;LB;ASAOUN Aoun.net s.a.r.l]
ripencc,ipv4,185.118.220.0,22,allocated,[12590;LB;dotspot THE DOT SPOT NET SARL]
ripencc,ipv4,185.120.28.0,22,allocated,[8699;LB;FIBERWAVES-AS Fiberwaves S.A.L]
ripencc,ipv4,185.122.92.0,22,allocated,[202772;LB;AXA-AS AXA Middle East SAL][201544;LB;CIMNAT-AS Cimenterie Nationale SAL][62144;LB;BBAC-AS BBAC S.A.L.][58281;LB;FIDUS-SAL FIDUS S.A.L][48740;LB;OMT-AS Online Money Transfer S.A.L.][31126;LB;SODETEL-AS SODETEL S.A.L.]
ripencc,ipv4,185.124.212.0,22,allocated,[61113;LB;CapitalOutsourcing Capital Outsourcing SAL][47529;LB;BERYTECH BERYTECH S.C.A.L.][39275;LB;Byblos Byblos Bank S.A.L.][28958;LB;TRINEC-AS Capital Outsourcing SAL][12376;LB;MOF Ministry of finance]
ripencc,ipv4,185.124.244.0,22,allocated,[3290;LB;wifast WIFAST SARL]
ripencc,ipv4,185.125.148.0,22,allocated,*
ripencc,ipv4,185.125.152.0,22,allocated,*
